filename,artist,bpm,key,camelot,energy,genres,format,path
SERGIK x Auxlee - Quirk.wav,Unknown Artist,147.7,D major,10B,5,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Auxlee - Quirk.wav
SERGIK - Chasing the sun to Tokyo (Mastered).wav,Unknown Artist,89.1,E minor,9A,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Chasing the sun to Tokyo (Mastered).wav
SERGIK x Cafe Caderas - House Girls.wav,Unknown Artist,129.2,A major,11B,6,house,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Cafe Caderas - House Girls.wav
SERGIK - Drop Dat B.wav,Unknown Artist,129.2,D major,10B,5,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Drop Dat B.wav
SERGIK - In The Moment.wav,Unknown Artist,86.1,D minor,7A,7,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - In The Moment.wav
SERGIK - Up All Night.wav,Unknown Artist,86.1,C major,8B,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Up All Night.wav
SERGIK x Sean Hart - - All I Want V3.wav,Unknown Artist,117.5,A major,11B,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Sean Hart - - All I Want V3.wav
SERGIK - I Like the way.wav,Unknown Artist,123.0,A major,11B,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - I Like the way.wav
SERGIK - Golden Hour - Trap.wav,Unknown Artist,86.1,A major,11B,6,hiphop,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Golden Hour - Trap.wav
SERGIK - Guttah.wav,Unknown Artist,129.2,A major,11B,8,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Guttah.wav
Sergik x Hausofdevotion - Delirium.wav,Unknown Artist,86.1,A minor,8A,5,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Sergik x Hausofdevotion - Delirium.wav
SERGIK x Janis - Like a Daisy (VIP Alchemy).wav,Unknown Artist,76.0,F major,7B,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Janis - Like a Daisy (VIP Alchemy).wav
SERGIK x Sean Hart Ft. Chris Powell - American LOVE (Rebass).wav,Unknown Artist,117.5,D major,10B,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Sean Hart Ft. Chris Powell - American LOVE (Rebass).wav
SERGIK - All My Ladies ft. Nessa.wav,Unknown Artist,123.0,F major,7B,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - All My Ladies ft. Nessa.wav
SERGIK x Breauxxx - All Around.wav,Unknown Artist,86.1,D major,10B,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Breauxxx - All Around.wav
SERGIK - Lose Yourself.wav,Unknown Artist,123.0,D major,10B,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Lose Yourself.wav
SERGIK - Aha.wav,Unknown Artist,86.1,A minor,8A,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Aha.wav
SERGIK x Aloe Flipz x Nood - Bxtch I Grow (Shafeus Edit).wav,Unknown Artist,86.1,A# minor,3A,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Aloe Flipz x Nood - Bxtch I Grow (Shafeus Edit).wav
SERGIK - Jumpin v2.wav,Unknown Artist,129.2,A major,11B,5,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Jumpin v2.wav
SERGIK - Dont Go.wav,Unknown Artist,86.1,F# minor,11A,8,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Dont Go.wav
SERGIK x Silent Jay - Soul On Fire.wav,Unknown Artist,86.1,D major,10B,7,soul,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Silent Jay - Soul On Fire.wav
SERGIK - Do My Thang.wav,Unknown Artist,86.1,A major,11B,8,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Do My Thang.wav
SERGIK x Forgotten Modern - Give it To Em.wav,Unknown Artist,123.0,A minor,8A,8,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Forgotten Modern - Give it To Em.wav
SERGIK - Electrify.wav,Unknown Artist,86.1,D major,10B,5,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Electrify.wav
SERGIK X JIMII - JUST IN CASE.wav,Unknown Artist,129.2,D major,10B,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK X JIMII - JUST IN CASE.wav
SERGIK x Sean Hart x Sean Watson V2x Janis - Snap Back Sweet.wav,Unknown Artist,92.3,A major,11B,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Sean Hart x Sean Watson V2x Janis - Snap Back Sweet.wav
SERGIK x Bone - Motion.wav,Unknown Artist,89.1,D minor,7A,5,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Bone - Motion.wav
Sergik - Tell Me.wav,Unknown Artist,123.0,D minor,7A,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Sergik - Tell Me.wav
SERGIK x Breauxxx x NOOD - Comprehension.wav,Unknown Artist,129.2,D major,10B,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Breauxxx x NOOD - Comprehension.wav
SERGIK x Aloe Flipz - Broken Problems v2.wav,Unknown Artist,123.0,D major,10B,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Aloe Flipz - Broken Problems v2.wav
SERGIK x Slick - Gangsta.wav,Unknown Artist,86.1,D major,10B,5,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Slick - Gangsta.wav
SERGIK - Elevator Musik.wav,Unknown Artist,129.2,D major,10B,7,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Elevator Musik.wav
SERGIK - Never Hold Back.wav,Unknown Artist,86.1,D minor,7A,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Never Hold Back.wav
SERGIK - Funkshway analog.wav,Unknown Artist,117.5,D major,10B,7,funk,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Funkshway analog.wav
Sergik - 90s Baby.wav,Unknown Artist,86.1,D major,10B,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Sergik - 90s Baby.wav
SERGIK - Going Fast3.wav,Unknown Artist,86.1,D major,10B,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Going Fast3.wav
