filename,artist_folder,path,size_mb,format,genres,bpm,is_sergik
SERGIK - Dont You.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Dont You.wav,71.91,wav,,,True
SERGIK - Soul Mind n Body v2.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Soul Mind n Body v2.wav,62.0,wav,soul,,True
Donuts N Milk (0).wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Donuts N Milk (0).wav,21.43,wav,,,False
Rainy Daze (0).wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Rainy Daze (0).wav,22.55,wav,,,False
SERGIK x Janis - Alchemy.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Janis - Alchemy.wav,49.31,wav,,,True
Noir Pt 2.mp3,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Noir Pt 2.mp3,11.77,mp3,,,False
RUNTHA v222.mp3,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/RUNTHA v222.mp3,6.1,mp3,,,False
Pixelated Thoughts (0).wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Pixelated Thoughts (0).wav,25.05,wav,,,False
england 2.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/england 2.wav,36.86,wav,,,False
SERGIK - Doin Ma Thang.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Doin Ma Thang.wav,68.13,wav,,,True
SERGIK x Aloe Flipz - Shafeus.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Aloe Flipz - Shafeus.wav,66.03,wav,,,True
8.14 - novation.mp3,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/8.14 - novation.mp3,11.98,mp3,,,False
SERGIK x Ladell Ransom - Desiderata.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Ladell Ransom - Desiderata.wav,25.63,wav,,,True
BOTEV - WALK WIT IT V3.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/BOTEV - WALK WIT IT V3.wav,61.84,wav,,,False
SERGIK - Dumb.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Dumb.wav,36.18,wav,,,True
