filename,artist_folder,bpm,key,duration_sec,sample_rate,bit_depth,channels,file_size_mb,format,path
Optikz x SERGIK(Vips) - Crowd Control - Trap.wav,Unknown Artist,,,204.19,44100,24,2,51.53,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Optikz x SERGIK(Vips) - Crowd Control - Trap.wav
SERGIK - Game.wav,Unknown Artist,,,212.68,44100,24,2,53.67,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Game.wav
SERGIK - After After (All Around Flip).wav,Unknown Artist,,,240.0,44100,24,2,60.56,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - After After (All Around Flip).wav
SERGIK - Disco 82.wav,Unknown Artist,,,218.54,48000,24,2,60.02,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Disco 82.wav
SERGIK - Feeling Lit.wav,Unknown Artist,,,201.6,44100,24,2,50.87,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Feeling Lit.wav
9.22.24 Empty 120 BPM Note C.aif,Unknown Artist,,,168.0,48000,24,2,46.14,aif,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/9.22.24 Empty 120 BPM Note C.aif
Goin Backwards.mp3,Unknown Artist,,,164.62,44100,0,2,6.28,mp3,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Goin Backwards.mp3
SERGIK - Rise n Shine.wav,Unknown Artist,,,215.27,44100,24,2,54.32,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Rise n Shine.wav
SERGIK - We Do This.wav,Unknown Artist,,,270.0,44100,24,2,68.13,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - We Do This.wav
SERGIK x ESHER - Just Dont 124bpm.wav,Unknown Artist,,,282.58,44100,24,2,71.31,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x ESHER - Just Dont 124bpm.wav
SERGIK - Gypsy - House 1.wav,Unknown Artist,,,242.0,44100,24,2,61.07,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Gypsy - House 1.wav
"DRE, Dilon Karim - Frustrated (Unreleased).wav",Unknown Artist,,,341.3,44100,0,2,57.42,wav,"/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/DRE, Dilon Karim - Frustrated (Unreleased).wav"
Realm Transfer.wav,Unknown Artist,,,213.43,44100,0,2,35.9,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Realm Transfer.wav
SERGIK - Life 1.wav,Unknown Artist,,,221.74,44100,24,2,55.95,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Life 1.wav
SERGIK - Juiced Up.wav,Unknown Artist,,,251.43,44100,24,2,63.45,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Juiced Up.wav
SERGIK x Dillon Nathaniel - Moon Glazin.wav,Unknown Artist,,,228.84,48000,24,2,62.85,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Dillon Nathaniel - Moon Glazin.wav
ARZA - Swear Fo 2.wav,Unknown Artist,,,194.43,44100,24,2,49.06,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/ARZA - Swear Fo 2.wav
SERGIK x Jetski - Code Name SERGSKI.wav,Unknown Artist,,,247.62,44100,24,2,62.48,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Jetski - Code Name SERGSKI.wav
relaxation.mp3,Unknown Artist,,,135.05,44100,0,2,5.15,mp3,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/relaxation.mp3
SERGIK  - Dreamer.wav,Unknown Artist,,,180.43,44100,24,2,45.53,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK  - Dreamer.wav
