filename,artist,bpm,key,camelot,energy,phrases,duration_sec,sample_rate,bit_depth,channels,file_size_mb,format,path
SERGIK x Zonii - LAZER BEAMS.wav,Music,123.0,A minor,8A,6,Drop,211.2,44100,24,2,53.29,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Zonii - LAZER BEAMS.wav
SERGIK - Swonky 1.wav,Music,129.2,A major,11B,6,Chorus -> Drop,211.65,44100,0,2,35.61,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Swonky 1.wav
Hip Hop 13.mp3,Music,86.1,D major,10B,6,Drop,125.75,44100,0,2,4.8,mp3,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Hip Hop 13.mp3
SERGIK - Soul Candy.wav,Music,117.5,A major,11B,6,Drop,246.1,44100,24,2,62.1,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Soul Candy.wav
Sergik - Doses.wav,Music,86.1,D minor,7A,7,Drop,263.04,44100,0,2,44.25,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Sergik - Doses.wav
SERGIK - Preach to the Choir ft. Sewer.wav,Music,86.1,C minor,5A,6,Chorus -> Drop,180.92,44100,24,2,45.65,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Preach to the Choir ft. Sewer.wav
minimal baby - Frandisco.mp3,Music,129.2,D minor,7A,5,Drop,277.5,44100,0,2,10.59,mp3,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/minimal baby - Frandisco.mp3
SERGIK - Hustle Funkshway.wav,Music,117.5,A major,11B,6,Intro -> Drop,304.7,44100,24,2,76.89,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Hustle Funkshway.wav
SERGIK - Fxck it.wav,Music,86.1,D major,10B,6,Chorus -> Drop,249.6,44100,0,2,41.99,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Fxck it.wav
SERGIK x WWW - Late Nighters.wav,Music,86.1,A minor,8A,6,Intro -> Drop,236.13,44100,24,2,59.59,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x WWW - Late Nighters.wav
SERGIK - GET ON MY VIBE.2.wav,Music,86.1,D minor,7A,6,Drop,235.89,44100,0,2,39.68,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - GET ON MY VIBE.2.wav
SERGIK x WWW - Daft Punk - Harder Better Faster Stronger Flip.wav,Music,123.0,F# minor,11A,5,Chorus -> Drop,331.71,44100,24,2,83.7,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x WWW - Daft Punk - Harder Better Faster Stronger Flip.wav
SERGIK - Can You Dance v2.wav,Music,86.1,D minor,7A,7,Drop,305.81,44100,24,2,77.17,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Can You Dance v2.wav
Equipoise (0).wav,Music,86.1,A minor,8A,6,Intro -> Chorus -> Drop,165.58,44100,0,2,27.86,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Equipoise (0).wav
Instrumental Michael Crowe Mycology Series V1 - Sounds by SERGIK.wav,Music,129.2,D minor,7A,5,Intro -> Drop,255.48,44100,24,2,64.47,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Instrumental Michael Crowe Mycology Series V1 - Sounds by SERGIK.wav
SERGIK - Rhythm.wav,Music,86.1,A major,11B,6,Intro -> Drop,267.1,44100,24,2,67.4,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Rhythm.wav
SERGIK - Like The Ol Days (Bass VIP).wav,Music,123.0,A major,11B,6,Intro -> Chorus -> Drop,209.14,44100,24,2,52.78,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Like The Ol Days (Bass VIP).wav
